PID,Gr Liv Area,SalePrice,Sale Type,Sale Condition,Mo Sold,Yr Sold,Bedroom,Full Bath,Half Bath,MS SubClass,MS Zoning,Exter Qual,Exter Cond,Heating QC,Kitchen Qual,Kitchen AbvGr,TotRms AbvGrd,Mas Vnr Area,Mas Vnr Type,Central Air,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fireplace Qu,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Fireplaces,Fence,Foundation,Heating,Electrical,Functional,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Misc Feature,Misc Val,Pool Area,Pool QC
905401045,1363,241500,WD ,Normal,4,2008,2,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Flat,Membran,Plywood,Plywood,Y,81,0,0,0,0,TA,1363,0,0,2,NA,CBlock,GasA,SBrkr,Mod,73,39104,Pave,NA,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Normal,1Fam,1Story,7,7,1954,2005,Gd,TA,Gd,LwQ,226.0,GLQ,1063.0,96.0,1385,1,0,Attchd,1954.0,Unf,2,439,TA,TA,NA,0,0,NA
905403150,1094,155000,WD ,Normal,6,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,216,Stone,True,Hip,CompShg,Wd Sdng,Wd Sdng,Y,0,0,0,0,287,Gd,1094,0,0,2,NA,CBlock,GasA,SBrkr,Typ,85,10452,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Normal,1Fam,1Story,6,5,1953,1953,TA,TA,Mn,Rec,500.0,Unf,0.0,594.0,1094,0,0,Attchd,1953.0,RFn,2,495,TA,TA,NA,0,0,NA
906475100,1643,195000,WD ,Normal,3,2008,2,2,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Flat,Tar&Grv,Plywood,Plywood,Y,339,0,0,0,0,Gd,1643,0,0,1,NA,CBlock,GasA,SBrkr,Typ,0,11500,Pave,NA,IR1,Bnk,AllPub,CulDSac,Gtl,ClearCr,Norm,Normal,1Fam,1Story,6,6,1966,1966,Gd,Gd,Gd,LwQ,262.0,ALQ,723.0,197.0,1182,1,0,Attchd,1966.0,Unf,2,438,TA,TA,NA,0,0,NA
907126030,990,155000,WD ,Normal,8,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,168,0,0,0,0,NA,990,0,0,0,NA,PConc,GasA,SBrkr,Typ,65,9750,Pave,NA,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Normal,1Fam,1Story,5,7,1994,1994,Gd,TA,No,GLQ,722.0,Unf,0.0,268.0,990,1,0,Detchd,1997.0,Unf,2,528,TA,TA,NA,0,0,NA
907135260,990,145000,WD ,Normal,2,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,0,0,0,0,NA,990,0,0,0,NA,PConc,GasA,SBrkr,Typ,57,9245,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Normal,1Fam,1Story,5,5,1994,1995,Gd,TA,No,GLQ,686.0,Unf,0.0,304.0,990,0,1,Detchd,1996.0,Unf,2,672,TA,TA,NA,0,0,NA
907202010,1174,158000,WD ,Normal,5,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,180,BrkFace,True,Gable,CompShg,HdBoard,HdBoard,Y,211,0,280,0,0,NA,1174,0,0,0,NA,CBlock,GasA,SBrkr,Typ,0,12250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Normal,1Fam,1Story,5,6,1978,1978,Gd,TA,Mn,ALQ,781.0,Unf,0.0,83.0,864,1,0,Attchd,1978.0,Unf,2,528,TA,TA,NA,0,0,NA
907227300,780,124900,WD ,Normal,1,2008,2,1,0,20,RL,TA,TA,Ex,TA,1,4,0,NA,True,Gable,CompShg,HdBoard,HdBoard,Y,196,0,0,0,0,NA,780,0,0,0,MnPrv,CBlock,GasA,SBrkr,Typ,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Normal,1Fam,1Story,5,7,1972,1972,TA,TA,Av,ALQ,632.0,Unf,0.0,148.0,780,0,0,Detchd,1973.0,Unf,1,352,TA,TA,NA,0,0,NA
909428170,1898,236500,WD ,Normal,4,2008,3,2,1,20,RL,TA,TA,Ex,TA,1,7,0,NA,True,Gable,CompShg,BrkFace,MetalSd,Y,0,51,224,0,0,TA,1898,0,0,2,MnPrv,PConc,GasA,FuseA,Typ,56,26073,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Normal,1Fam,1Story,5,5,1956,1956,TA,TA,No,Rec,1116.0,Unf,0.0,782.0,1898,0,0,Attchd,1956.0,Unf,2,484,TA,TA,NA,0,0,NA
916402015,1495,150000,WD ,Normal,7,2008,3,2,0,20,RL,TA,TA,Ex,TA,1,8,128,BrkFace,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,252,0,192,0,0,TA,1495,0,0,1,NA,CBlock,GasA,SBrkr,Typ,75,12890,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Normal,1Fam,1Story,6,5,1989,1989,Gd,TA,No,Unf,0.0,Unf,0.0,1495.0,1495,0,0,Attchd,1989.0,Unf,2,438,TA,TA,NA,0,0,NA
923202137,1092,146000,WD ,Abnorml,2,2008,2,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,52,0,0,0,NA,1092,0,0,0,NA,PConc,GasA,SBrkr,Typ,77,9278,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Feedr,Artery,1Fam,1Story,5,5,2007,2008,Gd,TA,No,Unf,0.0,Unf,0.0,1092.0,1092,0,0,NA,,NA,0,0,NA,NA,NA,0,0,NA
923250210,988,113000,WD ,Normal,2,2008,2,1,0,20,RL,TA,TA,Ex,TA,1,4,0,NA,True,Hip,CompShg,HdBoard,HdBoard,N,0,0,0,0,0,NA,988,0,0,0,NA,CBlock,GasA,FuseA,Typ,100,21750,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Normal,1Fam,1Story,5,5,1954,1954,TA,TA,No,Unf,0.0,Unf,0.0,988.0,988,0,0,Attchd,1954.0,RFn,2,520,TA,TA,NA,0,0,NA
527354050,1353,192350,WD ,Normal,8,2007,2,2,0,20,RL,TA,TA,Ex,TA,1,5,253,BrkFace,True,Gable,CompShg,MetalSd,MetalSd,Y,240,141,0,0,0,TA,1353,0,0,1,NA,CBlock,GasA,SBrkr,Typ,80,10400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Normal,1Fam,1Story,6,5,1979,1999,Gd,TA,No,GLQ,903.0,Unf,0.0,356.0,1259,1,0,Attchd,1979.0,RFn,2,478,TA,TA,NA,0,0,NA
531363020,1100,146000,New,Partial,6,2007,3,1,1,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,136,0,0,0,NA,1100,0,0,0,NA,PConc,GasA,SBrkr,Typ,63,7500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Normal,1Fam,1Story,6,5,2006,2007,Gd,TA,No,Unf,0.0,Unf,0.0,1100.0,1100,0,0,NA,,NA,0,0,NA,NA,NA,0,0,NA
531385070,1349,179000,WD ,Normal,12,2007,3,2,0,20,RL,TA,TA,Ex,TA,1,6,108,BrkFace,True,Gable,CompShg,VinylSd,VinylSd,Y,120,55,0,0,0,NA,1349,0,0,0,GdPrv,PConc,GasA,SBrkr,Typ,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Normal,1Fam,1Story,7,5,2000,2001,Gd,TA,No,Unf,0.0,Unf,0.0,1349.0,1349,0,0,Attchd,2000.0,Unf,2,539,TA,TA,NA,0,0,NA
533254130,1262,181500,WD ,Normal,5,2007,3,2,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,MetalSd,MetalSd,Y,298,0,0,0,0,TA,1262,0,0,1,NA,CBlock,GasA,SBrkr,Typ,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Normal,1Fam,1Story,6,8,1976,1976,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262,0,1,Attchd,1976.0,RFn,2,460,TA,TA,NA,0,0,NA
534125120,1152,143450,CWD,Normal,9,2007,3,1,1,20,RL,TA,TA,Ex,TA,1,7,41,BrkFace,True,Gable,CompShg,MetalSd,MetalSd,Y,0,126,0,0,0,NA,1152,0,0,0,NA,CBlock,GasA,SBrkr,Typ,78,11700,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Normal,1Fam,1Story,6,6,1968,1968,TA,TA,No,Unf,0.0,Unf,0.0,912.0,912,1,0,Attchd,1968.0,RFn,2,412,TA,TA,NA,0,0,NA
534401120,1200,163500,CWD,Normal,10,2007,3,2,0,20,RL,TA,TA,Ex,TA,1,6,202,BrkFace,True,Hip,CompShg,HdBoard,Plywood,Y,0,0,0,0,0,TA,1200,0,0,1,MnPrv,CBlock,GasA,SBrkr,Typ,80,8800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,7,6,1966,1966,TA,TA,No,BLQ,654.0,Unf,0.0,520.0,1174,0,1,Attchd,1966.0,RFn,2,440,TA,TA,NA,0,0,NA
534453080,808,112000,COD,Normal,7,2007,2,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Gable,CompShg,VinylSd,VinylSd,N,143,0,0,0,0,NA,808,0,0,0,NA,CBlock,GasA,SBrkr,Typ,50,5175,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,8,1958,2000,TA,TA,No,BLQ,150.0,ALQ,404.0,254.0,808,0,0,Detchd,1963.0,Unf,1,308,TA,TA,NA,0,0,NA
535106140,912,114500,COD,Normal,7,2007,2,1,0,20,RL,TA,TA,Ex,TA,1,5,1,NA,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,0,0,0,0,0,NA,912,0,0,0,NA,CBlock,GasA,FuseA,Typ,70,10150,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Feedr,Normal,1Fam,1Story,5,5,1958,1958,TA,TA,No,Rec,456.0,Unf,0.0,456.0,912,0,0,Attchd,1958.0,RFn,1,275,TA,TA,NA,0,0,NA
535176070,1244,150000,WD ,Normal,5,2007,3,1,1,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,40,0,0,0,Gd,1244,0,0,2,NA,CBlock,GasA,FuseA,Typ,90,11988,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Feedr,Normal,1Fam,1Story,6,6,1957,1957,TA,TA,No,Rec,777.0,Unf,0.0,467.0,1244,0,0,Attchd,1957.0,Unf,1,336,TA,TA,NA,0,0,NA
535452060,1134,135000,WD ,Family,4,2007,2,1,0,20,RL,TA,TA,Ex,TA,1,6,45,BrkFace,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,0,16,0,0,0,NA,1134,0,0,0,MnWw,CBlock,GasA,SBrkr,Typ,70,7000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,5,7,1960,2002,TA,TA,No,Rec,588.0,Unf,0.0,422.0,1010,0,0,Attchd,1960.0,RFn,1,254,TA,TA,NA,0,0,NA
905105260,955,127000,WD ,Normal,1,2007,3,1,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,HdBoard,HdBoard,Y,0,0,0,0,0,NA,955,0,0,0,MnPrv,CBlock,GasA,SBrkr,Typ,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Normal,1Fam,1Story,5,7,1966,1966,TA,TA,No,BLQ,763.0,Unf,0.0,192.0,955,1,0,Attchd,1966.0,Unf,1,386,TA,TA,NA,0,0,NA
905107140,1285,143500,WD ,Normal,4,2007,3,1,1,20,RL,TA,TA,Ex,TA,1,7,148,BrkFace,True,Gable,CompShg,Plywood,Plywood,Y,138,0,0,0,0,TA,1285,0,0,1,MnPrv,CBlock,GasA,SBrkr,Typ,71,8197,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Normal,1Fam,1Story,6,5,1977,1977,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660,0,0,Attchd,1977.0,RFn,2,528,TA,TA,NA,0,0,NA
905352010,1522,182000,WD ,Normal,2,2007,3,2,0,20,RL,TA,TA,Ex,TA,1,7,136,BrkFace,True,Hip,CompShg,Wd Sdng,Wd Sdng,Y,0,77,0,0,168,TA,1522,0,0,1,GdPrv,PConc,GasA,SBrkr,Typ,0,11075,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Normal,1Fam,1Story,6,5,1984,1984,Gd,TA,No,BLQ,299.0,LwQ,891.0,0.0,1190,0,0,Attchd,1984.0,Fin,2,552,TA,TA,NA,0,0,NA
905478140,1342,125000,WD ,Normal,4,2007,4,1,0,20,RL,TA,TA,Ex,TA,1,7,0,NA,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,0,0,0,0,0,NA,1342,0,0,0,NA,CBlock,GasA,SBrkr,Typ,58,9280,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Normal,1Fam,1Story,5,6,1951,1951,Fa,TA,No,ALQ,557.0,Unf,0.0,785.0,1342,1,0,Detchd,1951.0,Unf,1,256,TA,TA,NA,0,0,NA
905480180,1340,120000,WD ,Normal,6,2007,3,1,0,20,RL,TA,TA,Ex,TA,1,7,98,BrkFace,True,Hip,CompShg,Wd Sdng,Wd Sdng,Y,116,0,0,180,0,Gd,1340,0,0,1,MnPrv,PConc,GasA,SBrkr,Typ,60,9060,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Normal,1Fam,1Story,5,6,1957,2006,NA,NA,NA,NA,,NA,,,0,0,0,NA,,NA,0,0,NA,NA,NA,0,0,NA
907135080,1097,147900,WD ,Normal,7,2007,3,1,1,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,306,0,0,0,0,NA,1097,0,0,0,GdPrv,PConc,GasA,SBrkr,Typ,70,16561,Pave,NA,IR2,Low,AllPub,Inside,Mod,CollgCr,Norm,Normal,1Fam,1Story,5,5,1996,1996,Gd,TA,No,ALQ,549.0,Unf,0.0,548.0,1097,1,0,Attchd,1996.0,Unf,1,242,TA,TA,NA,0,0,NA
907135180,990,123600,WD ,Normal,8,2007,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,0,0,0,0,NA,990,0,0,0,NA,PConc,GasA,SBrkr,Typ,60,8070,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Normal,1Fam,1Story,4,5,1994,1995,Gd,TA,No,GLQ,588.0,Unf,0.0,402.0,990,1,0,NA,,NA,0,0,NA,NA,NA,0,0,NA
908102100,1214,140000,WD ,Normal,4,2007,2,1,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Hip,CompShg,MetalSd,MetalSd,Y,0,0,184,0,0,NA,1214,0,0,0,GdPrv,CBlock,GasA,SBrkr,Typ,70,9170,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Feedr,Normal,1Fam,1Story,5,7,1965,1965,TA,TA,No,ALQ,698.0,GLQ,96.0,420.0,1214,1,0,Detchd,1965.0,Unf,2,461,Fa,Fa,Shed,400,0,NA
908225240,948,111000,WD ,Normal,2,2007,3,1,0,20,RL,TA,TA,Ex,TA,1,5,132,BrkFace,True,Hip,CompShg,Wd Sdng,Wd Sdng,Y,0,0,0,0,0,NA,948,0,0,0,NA,PConc,GasA,SBrkr,Typ,75,10215,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Normal,1Fam,1Story,4,5,1954,1954,TA,TA,No,ALQ,492.0,Unf,0.0,372.0,864,0,0,Attchd,1954.0,Unf,1,248,TA,TA,NA,0,0,NA
533252040,1694,318750,WD ,Normal,6,2009,2,2,0,20,RL,Ex,Ex,Ex,Ex,1,5,450,BrkFace,True,Gable,CompShg,MetalSd,MetalSd,Y,501,120,0,225,0,Gd,1694,0,0,1,NA,CBlock,GasA,SBrkr,Typ,0,14694,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Normal,1Fam,1Story,8,9,1977,2008,Gd,Gd,Gd,GLQ,1252.0,ALQ,136.0,306.0,1694,1,0,Attchd,1977.0,Fin,2,642,TA,TA,NA,0,0,NA
533350120,1671,290000,WD ,Normal,5,2008,3,3,0,20,RL,Ex,Ex,Ex,Ex,1,6,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,280,90,0,0,0,Gd,1671,0,0,1,GdWo,CBlock,GasA,SBrkr,Typ,103,16280,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Normal,1Fam,1Story,8,9,1976,2007,Gd,Ex,Mn,GLQ,1044.0,Rec,382.0,0.0,1426,1,0,Attchd,1976.0,RFn,2,550,TA,TA,NA,0,0,NA
902401120,2775,325000,WD ,Normal,7,2008,3,3,1,75,RM,Ex,Ex,Gd,Gd,1,9,0,NA,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,105,502,0,0,0,Gd,1521,1254,0,1,NA,BrkTil,GasA,SBrkr,Typ,75,13500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,PosA,1Fam,2.5Unf,10,9,1893,2000,TA,TA,No,Unf,0.0,Unf,0.0,1237.0,1237,0,0,Detchd,1988.0,Unf,2,880,Gd,TA,NA,0,0,NA
527210030,2798,457347,New,Partial,3,2006,3,3,1,60,RL,Gd,Ex,Ex,Ex,1,11,600,BrkFace,True,Hip,CompShg,VinylSd,VinylSd,Y,182,37,0,0,0,Gd,1414,1384,0,1,NA,PConc,GasA,SBrkr,Typ,59,16023,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Normal,1Fam,2Story,9,5,2005,2006,Ex,TA,Gd,GLQ,1218.0,Unf,0.0,180.0,1398,1,0,BuiltIn,2005.0,Fin,3,670,TA,TA,NA,0,0,NA
924100060,1632,173000,WD ,Normal,4,2009,4,1,1,60,RL,Gd,Ex,Ex,TA,1,7,178,BrkFace,True,Gable,CompShg,VinylSd,VinylSd,Y,0,173,368,0,0,TA,784,848,0,1,MnPrv,CBlock,GasA,SBrkr,Typ,70,10457,Pave,NA,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Normal,1Fam,2Story,5,7,1969,1969,TA,TA,Gd,BLQ,496.0,LwQ,288.0,0.0,784,0,0,Attchd,1969.0,RFn,2,898,TA,TA,NA,0,0,NA
905476225,1038,130000,WD ,Normal,7,2007,2,2,0,120,RL,Gd,Ex,Gd,TA,1,5,149,BrkFace,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,0,105,0,0,0,NA,1038,0,0,0,NA,CBlock,GasA,SBrkr,Typ,39,3869,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Normal,TwnhsE,1Story,5,6,1984,1984,TA,TA,No,LwQ,283.0,GLQ,755.0,0.0,1038,0,0,Attchd,1984.0,RFn,1,264,TA,TA,NA,0,0,NA
903456110,1952,212300,WD ,Normal,4,2007,4,1,1,60,RM,TA,Ex,Ex,Gd,1,8,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,285,0,0,0,216,TA,976,976,0,2,NA,CBlock,GasA,SBrkr,Typ,60,9780,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Normal,1Fam,2Story,7,9,1950,2005,TA,TA,No,LwQ,354.0,Rec,398.0,224.0,976,0,0,Detchd,1950.0,Fin,1,299,TA,TA,NA,0,0,NA
902306130,1378,161000,WD ,Normal,10,2008,3,2,0,70,RM,TA,Ex,Ex,Gd,1,7,0,NA,True,Gambrel,CompShg,MetalSd,MetalSd,N,0,0,116,0,0,Gd,689,689,0,1,NA,BrkTil,GasA,SBrkr,Typ,60,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Normal,1Fam,2Story,7,9,1928,2005,TA,TA,No,Rec,141.0,Unf,0.0,548.0,689,0,0,Detchd,1928.0,Unf,2,360,TA,TA,NA,0,0,NA
