PID;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Foundation;Bsmt Qual;Bsmt Cond;Bsmt Exposure;BsmtFin Type 1;BsmtFin Type 2;Heating;Electrical;Functional;Fireplaces;Garage Type;Garage Finish;Garage Qual;Garage Cond;Pool QC;Fence;Misc Feature;SalePrice
905401045;73.0;39104;Pave;NA;Slightly irregular;Low;AllPub;CulDSac;Sev;Clear Creek;Norm;Normal;1Fam;1Story;7;7;1954;2005.0;CBlock;Gd;TA;Gd;LwQ;GLQ;GasA;SBrkr;Mod;2;Attchd;Unf;TA;TA;NA;NA;NA;241500
905403150;85.0;10452;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;6;5;1953;0.0;CBlock;TA;TA;Mn;Rec;Unf;GasA;SBrkr;Typ;2;Attchd;RFn;TA;TA;NA;NA;NA;155000
906475100;0.0;11500;Pave;NA;Slightly irregular;Bnk;AllPub;CulDSac;Gtl;Clear Creek;Norm;Normal;1Fam;1Story;6;6;1966;0.0;CBlock;Gd;Gd;Gd;LwQ;ALQ;GasA;SBrkr;Typ;1;Attchd;Unf;TA;TA;NA;NA;NA;195000
907126030;65.0;9750;Pave;NA;Regular;Low;AllPub;Inside;Mod;College Creek;Norm;Normal;1Fam;1Story;5;7;1994;0.0;PConc;Gd;TA;No;GLQ;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;155000
907135260;57.0;9245;Pave;NA;Moderately Irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;5;1994;1995.0;PConc;Gd;TA;No;GLQ;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;145000
907202010;0.0;12250;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;6;1978;0.0;CBlock;Gd;TA;Mn;ALQ;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;NA;NA;158000
907227300;60.0;7200;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;7;1972;0.0;CBlock;TA;TA;Av;ALQ;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;MnPrv;NA;124900
909428170;56.0;26073;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Crawford;Norm;Normal;1Fam;1Story;5;5;1956;0.0;PConc;TA;TA;No;Rec;Unf;GasA;FuseA;Typ;2;Attchd;Unf;TA;TA;NA;MnPrv;NA;236500
916402015;75.0;12890;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;6;5;1989;0.0;CBlock;Gd;TA;No;Unf;Unf;GasA;SBrkr;Typ;1;Attchd;Unf;TA;TA;NA;NA;NA;150000
923202137;77.0;9278;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Mitchell;Adjacent to feeder street;Artery;1Fam;1Story;5;5;2007;2008.0;PConc;Gd;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;146000
923250210;100.0;21750;Pave;NA;Regular;HLS;AllPub;Inside;Mod;Mitchell;Adjacent to arterial street;Normal;1Fam;1Story;5;5;1954;0.0;CBlock;TA;TA;No;Unf;Unf;GasA;FuseA;Typ;0;Attchd;RFn;TA;TA;NA;NA;NA;113000
527354050;80.0;10400;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;5;1979;1999.0;CBlock;Gd;TA;No;GLQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;NA;NA;192350
531363020;63.0;7500;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;1Story;6;5;2006;2007.0;PConc;Gd;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;146000
531385070;65.0;8450;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;1Story;7;5;2000;2001.0;PConc;Gd;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;GdPrv;NA;179000
533254130;80.0;9600;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Veenker;Adjacent to feeder street;Normal;1Fam;1Story;6;8;1976;0.0;CBlock;Gd;TA;Gd;ALQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;NA;NA;181500
534125120;78.0;11700;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;RRAn;Normal;1Fam;1Story;6;6;1968;0.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;NA;NA;143450
534401120;80.0;8800;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;7;6;1966;0.0;CBlock;TA;TA;No;BLQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;MnPrv;NA;163500
534453080;50.0;5175;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Brookside;RRAn;Feedr;1Fam;1Story;5;8;1958;2000.0;CBlock;TA;TA;No;BLQ;ALQ;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;112000
535106140;70.0;10150;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;1Story;5;5;1958;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;FuseA;Typ;0;Attchd;RFn;TA;TA;NA;NA;NA;114500
535176070;90.0;11988;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;1Story;6;6;1957;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;FuseA;Typ;2;Attchd;Unf;TA;TA;NA;NA;NA;150000
535452060;70.0;7000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1960;2002.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;MnWw;NA;135000
905105260;66.0;7742;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;1Story;5;7;1966;0.0;CBlock;TA;TA;No;BLQ;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;MnPrv;NA;127000
905107140;71.0;8197;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;1Story;6;5;1977;0.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;MnPrv;NA;143500
905352010;0.0;11075;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Clear Creek;Norm;Normal;1Fam;1Story;6;5;1984;0.0;PConc;Gd;TA;No;BLQ;LwQ;GasA;SBrkr;Typ;1;Attchd;Fin;TA;TA;NA;GdPrv;NA;182000
905478140;58.0;9280;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;6;1951;0.0;CBlock;Fa;TA;No;ALQ;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;125000
905480180;60.0;9060;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Adjacent to arterial street;Normal;1Fam;1Story;5;6;1957;2006.0;PConc;NA;NA;NA;NA;NA;GasA;SBrkr;Typ;1;NA;NA;NA;NA;NA;MnPrv;NA;120000
907135080;70.0;16561;Pave;NA;Moderately Irregular;Low;AllPub;Inside;Mod;College Creek;Norm;Normal;1Fam;1Story;5;5;1996;0.0;PConc;Gd;TA;No;ALQ;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;GdPrv;NA;147900
907135180;60.0;8070;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;4;5;1994;1995.0;PConc;Gd;TA;No;GLQ;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;123600
908102100;70.0;9170;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Adjacent to feeder street;Normal;1Fam;1Story;5;7;1965;0.0;CBlock;TA;TA;No;ALQ;GLQ;GasA;SBrkr;Typ;0;Detchd;Unf;Fa;Fa;NA;GdPrv;Shed;140000
908225240;75.0;10215;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;4;5;1954;0.0;PConc;TA;TA;No;ALQ;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;NA;NA;111000
533252040;0.0;14694;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Veenker;Norm;Normal;1Fam;1Story;8;9;1977;2008.0;CBlock;Gd;Gd;Gd;GLQ;ALQ;GasA;SBrkr;Typ;1;Attchd;Fin;TA;TA;NA;NA;NA;318750
533350120;103.0;16280;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Veenker;Norm;Normal;1Fam;1Story;8;9;1976;2007.0;CBlock;Gd;Ex;Mn;GLQ;Rec;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;GdWo;NA;290000
902401120;75.0;13500;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;PosA;1Fam;2.5Unf;10;9;1893;2000.0;BrkTil;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;1;Detchd;Unf;Gd;TA;NA;NA;NA;325000
527210030;59.0;16023;Pave;NA;Slightly irregular;HLS;AllPub;CulDSac;Gtl;Stone Brook;Norm;Normal;1Fam;2Story;9;5;2005;2006.0;PConc;Ex;TA;Gd;GLQ;Unf;GasA;SBrkr;Typ;1;BuiltIn;Fin;TA;TA;NA;NA;NA;457347
924100060;70.0;10457;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Mod;Mitchell;Norm;Normal;1Fam;2Story;5;7;1969;0.0;CBlock;TA;TA;Gd;BLQ;LwQ;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;MnPrv;NA;173000
905476225;39.0;3869;Pave;NA;Regular;Lvl;AllPub;Inside;Mod;Edwards;Norm;Normal;TwnhsE;1Story;5;6;1984;0.0;CBlock;TA;TA;No;LwQ;GLQ;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;NA;NA;130000
903456110;60.0;9780;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;2Story;7;9;1950;2005.0;CBlock;TA;TA;No;LwQ;Rec;GasA;SBrkr;Typ;2;Detchd;Fin;TA;TA;NA;NA;NA;212300
902306130;60.0;9600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;2Story;7;9;1928;2005.0;BrkTil;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;1;Detchd;Unf;TA;TA;NA;NA;NA;161000
908201040;50.0;9405;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;9;1947;2008.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;118000
535380010;60.0;7200;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;2Story;6;8;1915;1950.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;1;Detchd;Unf;TA;TA;NA;NA;NA;155500
535301060;60.0;11556;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;9;1953;2006.0;CBlock;TA;TA;No;BLQ;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;142000
902201110;50.0;6000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;5;7;1950;1970.0;CBlock;TA;TA;No;BLQ;Unf;GasA;FuseA;Typ;0;Detchd;Unf;TA;TA;NA;MnPrv;NA;129500
903481100;60.0;10320;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;2fmCon;2Story;3;3;1915;1950.0;PConc;TA;Fa;No;Unf;Unf;GasA;FuseF;Typ;0;NA;NA;NA;NA;NA;NA;NA;82375
902456015;63.0;4761;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1.5Unf;3;3;1918;1950.0;BrkTil;TA;Fa;No;Unf;Unf;GasA;FuseP;Typ;0;NA;NA;NA;NA;NA;NA;NA;64500
534450090;50.0;5000;Pave;NA;Regular;Low;AllPub;Inside;Mod;Brookside;Norm;Normal;1Fam;1Story;1;3;1946;1950.0;Slab;NA;NA;NA;NA;NA;GasA;FuseF;Typ;0;NA;NA;NA;NA;NA;NA;NA;39300
903231060;51.0;6120;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1Story;2;3;1936;1950.0;BrkTil;TA;Fa;No;Unf;Unf;Grav;FuseA;Maj1;1;NA;NA;NA;NA;NA;NA;NA;60000
903454060;70.0;5600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;2fmCon;2Story;4;5;1930;1950.0;Slab;NA;NA;NA;NA;NA;GasA;SBrkr;Mod;0;NA;NA;NA;NA;NA;NA;NA;55000
534450110;50.0;5000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1Story;3;3;1946;1950.0;CBlock;Fa;Fa;No;LwQ;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;MnPrv;NA;64500
905480090;50.0;7550;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1.5Fin;4;5;1920;1950.0;BrkTil;TA;Fa;No;Unf;Unf;GasW;SBrkr;Typ;0;Detchd;Unf;Fa;TA;NA;MnPrv;NA;96000
903484080;60.0;10320;Pave;Grvl;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Adjacent to arterial street;Normal;1Fam;1.5Fin;4;1;1910;1950.0;CBlock;TA;Fa;No;Unf;Unf;GasA;SBrkr;Sal;0;Detchd;Unf;TA;Fa;NA;NA;NA;50000
902109160;81.0;7308;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;5;1920;1950.0;BrkTil;TA;TA;No;Rec;Unf;GasA;FuseA;Typ;1;Detchd;Unf;Fa;Fa;NA;NA;NA;122250
904301375;0.0;10020;Pave;NA;Slightly irregular;Low;AllPub;Inside;Sev;Edwards;Norm;Normal;1Fam;1Story;1;1;1922;1950.0;BrkTil;Fa;Po;Gd;BLQ;Unf;GasA;FuseA;Maj1;0;NA;NA;NA;NA;NA;NA;NA;61000
911204100;66.0;8712;Grvl;NA;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1Story;4;7;1896;1950.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;Detchd;RFn;TA;TA;NA;NA;NA;50138
531477020;60.0;8400;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Adjacent to feeder street;Normal;1Fam;1Story;4;4;1950;0.0;CBlock;TA;Fa;No;Unf;Unf;GasA;SBrkr;Typ;0;CarPort;Unf;TA;TA;NA;NA;NA;82000
911103050;105.0;8470;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Adjacent to feeder street;Feedr;1Fam;1.5Fin;3;2;1915;1982.0;CBlock;TA;Fa;No;Unf;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;MnPrv;NA;85000
534455030;80.0;9600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1960;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;MnPrv;NA;141500
911175440;50.0;9000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;2fmCon;1.5Fin;5;6;1951;0.0;CBlock;TA;TA;Mn;Unf;Unf;GasA;SBrkr;Min2;0;NA;NA;NA;NA;NA;NA;NA;115000
912251110;109.0;21780;Grvl;NA;Regular;Lvl;NoSewr;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1Story;2;4;1910;1950.0;CBlock;NA;NA;NA;NA;NA;GasA;FuseA;Min1;0;NA;NA;NA;NA;NA;NA;NA;57625
905101300;72.0;10773;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;Duplex;1Story;4;3;1967;0.0;CBlock;TA;TA;No;ALQ;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;136000
904302260;60.0;9900;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;2fmCon;1.5Fin;5;4;1915;1950.0;BrkTil;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;100000
902402260;60.0;11340;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;2Story;2;1;1920;1950.0;BrkTil;Fa;Fa;No;Unf;Unf;GasA;SBrkr;Maj1;0;Detchd;Unf;Fa;Po;NA;NA;NA;55000
532476050;100.0;14330;Pave;NA;Slightly irregular;Low;AllPub;Corner;Gtl;Veenker;Norm;Normal;1Fam;SLvl;7;4;1974;0.0;CBlock;Gd;TA;Gd;ALQ;BLQ;GasA;SBrkr;Mod;4;Attchd;RFn;TA;TA;Gd;GdPrv;NA;260000
909101180;55.0;5687;Pave;Grvl;Regular;Bnk;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;2fmCon;2Story;5;6;1912;2000.0;PConc;TA;Fa;No;Rec;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;135900
905104110;68.0;10265;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;1Story;5;7;1967;2005.0;CBlock;TA;TA;No;ALQ;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;MnPrv;Shed;145000
905475510;0.0;11200;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;3;1964;0.0;CBlock;TA;TA;Mn;Unf;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;Fa;NA;NA;NA;114000
909250210;60.0;6000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;5;5;1926;1950.0;BrkTil;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;102000
903226150;50.0;6000;Pave;NA;Regular;HLS;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1Story;5;7;1924;2003.0;BrkTil;TA;Fa;No;Unf;Unf;GasA;SBrkr;Typ;1;Detchd;Unf;TA;TA;NA;NA;NA;119000
903426180;57.0;8094;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;4;5;1915;1950.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;1;Detchd;Unf;TA;TA;NA;GdPrv;NA;149500
903227090;50.0;6000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1.5Fin;6;6;1939;1950.0;CBlock;TA;TA;No;Unf;Unf;GasA;FuseF;Typ;1;Detchd;Unf;TA;TA;NA;NA;NA;132500
903450060;0.0;7758;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1.5Fin;7;4;1931;1950.0;PConc;TA;TA;No;LwQ;Unf;GasA;FuseF;Typ;2;Detchd;Unf;TA;TA;NA;NA;NA;169500
908226130;60.0;12180;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;2fmCon;1.5Fin;4;4;1941;1950.0;BrkTil;Gd;TA;No;BLQ;Unf;Grav;FuseA;Typ;0;Detchd;Unf;TA;TA;NA;MnPrv;NA;80000
902401060;100.0;9045;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;2fmCon;2Story;5;3;1910;1950.0;BrkTil;TA;TA;Mn;Unf;Unf;Grav;FuseF;Typ;0;NA;NA;NA;NA;NA;NA;NA;76500
909281030;79.0;7801;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Crawford;Adjacent to feeder street;Normal;1Fam;1Story;6;5;1951;0.0;PConc;TA;TA;No;Rec;Unf;GasA;FuseA;Typ;1;Attchd;Fin;TA;TA;NA;MnPrv;NA;104000
535377070;60.0;10914;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1Story;3;3;1929;1950.0;CBlock;TA;TA;Mn;Unf;Unf;GasA;FuseP;Typ;0;Detchd;Unf;Fa;TA;NA;NA;NA;68000
535454070;71.0;8520;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;4;1952;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;MnPrv;NA;166000
905225020;99.0;16779;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Adjacent to feeder street;Normal;1Fam;2Story;5;4;1920;1996.0;CBlock;Gd;TA;No;BLQ;Unf;GasA;SBrkr;Mod;1;Attchd;Unf;TA;TA;NA;NA;Shed;158000
902301120;69.0;9142;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;2fmCon;2Story;6;8;1910;1950.0;Stone;Fa;TA;No;Unf;Unf;GasA;FuseP;Typ;0;Detchd;Unf;Po;Po;NA;NA;NA;137000
905101200;61.0;7943;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Adjacent to feeder street;Normal;1Fam;1Story;4;5;1961;0.0;CBlock;TA;TA;Mn;Rec;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;NA;NA;118500
906476140;80.0;12000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Clear Creek;Norm;Normal;1Fam;1Story;6;5;1968;0.0;CBlock;Gd;Fa;No;LwQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;NA;NA;158900
910204090;60.0;8967;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1Story;5;2;1920;1950.0;BrkTil;Fa;Po;No;Unf;Unf;GasA;Mix;Maj2;0;Detchd;Unf;Po;Po;NA;NA;NA;67000
903455030;0.0;10320;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1.5Fin;5;6;1915;1978.0;BrkTil;TA;Fa;No;Unf;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;Fa;Fa;NA;NA;NA;120000
903456090;60.0;6780;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;2fmCon;1.5Fin;6;8;1935;1982.0;CBlock;TA;TA;Av;GLQ;Unf;GasA;SBrkr;Typ;0;NA;NA;NA;NA;NA;NA;NA;84500
903458110;0.0;7920;Pave;Grvl;Slightly irregular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Adjacent to arterial street;Normal;1Fam;1.5Fin;6;7;1920;1950.0;CBlock;TA;TA;No;Unf;Unf;GasA;FuseA;Typ;0;NA;NA;NA;NA;NA;MnPrv;NA;89500
